DATE,COM,COM_MM,COM_YY,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OINT,SERIES
20220622,AU   ,08,2022,0,0,0,0,0.6906,0,0,AUQ22
20220622,AU   ,09,2022,0,0,0,0,0.6907,0,0,AUU22
20220622,AU   ,10,2022,0,0,0,0,0.6909,0,0,AUV22
20220622,AU   ,11,2022,0,0,0,0,0.691,0,0,AUX22
20220622,AU   ,12,2022,0,0,0,0,0.691,0,0,AUZ22
20220622,AU   ,01,2023,0,0,0,0,0.691,0,0,AUF23
20220622,AU   ,02,2023,0,0,0,0,0.6909,0,0,AUG23
20220622,AU   ,03,2023,0,0,0,0,0.6908,0,0,AUH23
20220622,AU   ,04,2023,0,0,0,0,0.6905,0,0,AUJ23
20220622,AU   ,05,2023,0,0,0,0,0.6903,0,0,AUK23
20220622,AU   ,06,2023,0,0,0,0,0.6899,0,0,AUM23
20220622,BTR  ,06,2022,0,0,0,0,0,0,0,BTRM22
20220622,BTR  ,07,2022,0,0,0,0,5870,0,1656,BTRN22
20220622,BTR  ,08,2022,0,0,0,0,5870,0,1593,BTRQ22
20220622,BTR  ,09,2022,0,0,0,0,5870,0,1380,BTRU22
20220622,BTR  ,10,2022,0,0,0,0,5825,0,1355,BTRV22
20220622,BTR  ,11,2022,0,0,0,0,5825,0,590,BTRX22
20220622,BTR  ,12,2022,0,0,0,0,5825,0,535,BTRZ22
20220622,BTR  ,01,2023,0,0,0,0,5875,0,375,BTRF23
20220622,BTR  ,02,2023,0,0,0,0,5850,0,350,BTRG23
20220622,BTR  ,03,2023,0,0,0,0,5825,0,350,BTRH23
20220622,BTR  ,04,2023,0,0,0,0,5655,0,100,BTRJ23
20220622,BTR  ,05,2023,0,0,0,0,5655,0,0,BTRK23
20220622,BTR  ,06,2023,0,0,0,0,5655,0,0,BTRM23
20220622,BTR  ,07,2023,0,0,0,0,5655,0,0,BTRN23
20220622,BTR  ,08,2023,0,0,0,0,5655,0,0,BTRQ23
20220622,BTR  ,09,2023,0,0,0,0,5655,0,0,BTRU23
20220622,BTR  ,10,2023,0,0,0,0,5655,0,0,BTRV23
20220622,BTR  ,11,2023,0,0,0,0,5655,0,0,BTRX23
20220622,BTR  ,12,2023,0,0,0,0,5655,0,0,BTRZ23
20220622,BZF  ,06,2022,0,0,0,0,1329.31,0,300,BZFM22
20220622,BZF  ,07,2022,0,0,0,0,1225.67,0,250,BZFN22
20220622,BZF  ,08,2022,0,0,0,0,1201.36,0,40,BZFQ22
20220622,BZF  ,09,2022,0,0,0,0,1176.03,0,0,BZFU22
20220622,BZF  ,10,2022,0,0,0,0,1149.7,0,0,BZFV22
20220622,BZF  ,11,2022,0,0,0,0,1124.03,0,0,BZFX22
